accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,lsoa_of_casualty,collision_to_casualty_home_postcode,enhanced_casualty_severity,grid_x,grid_y,longitude,latitude,geom,police_force,accident_severity,number_of_vehicles,number_of_casualties,obs_date,lad_stats19,lah_ons,first_road_class,first_road_number,road_type,speed_limit_mph,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,enhanced_collision_severity,lad_ons,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,was_vehicle_left_hand_drive,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_home_area_type,lsoa_of_driver,escooter,collision_to_driver_home_postcode,from_pt,to_pt,generic_make_model
2023101296164,1,1,Pedestrian,Male,36,36 - 45,Slight,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01008586,>5 and <= 10km,Slight,431526,581548,-1.507148,55.127313,0101000020E610000036C4F1AF471DF8BFFDCB26BD4B904B40,10,Slight,1,1,2023-04-13T09:00:00Z,-1,E06000057,B,1328,Single carriageway,30,Crossroads,Auto traffic signal,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01027442,Slight,E06000057,9,No tow,Moving off,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Offside,No,Not known,Male,60,56 - 65,999,Petrol,3,Urban area,E01008586,FALSE,>5 and <= 10km,NA,NA,VOLKSWAGEN T-CROSS
2023010437976,1,1,Pedestrian,Male,37,36 - 45,Serious,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,<= 5km,NA,525357,191108,-0.191258,51.604867,0101000020E6100000356F34ED257BC8BFC8A0F3396CCD4940,1,Serious,1,1,2023-04-18T08:43:00Z,-1,E09000003,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01000296,NA,E09000003,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Nearside,No,Not known,Male,68,66 - 75,1368,Petrol,10,Urban area,E01000304,FALSE,<= 5km,NA,NA,ALFA ROMEO GIULIETTA
2023631341120,1,9,Pedestrian,Male,2,0 - 5,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Slight,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,8,Pedestrian,Female,43,36 - 45,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Slight,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,7,Pedestrian,Male,47,46 - 55,Serious,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Rural,W01001250,>100km,Very serious,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,6,Pedestrian,Male,46,46 - 55,Serious,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Very serious,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023101363025,1,2,Pedestrian,Female,10,6 - 10,Slight,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01027428,>10 and <= 20km,Slight,419877,586137,-1.689504,55.16915,0101000020E61000002E4905933508FBBF1D05A6A9A6954B40,10,Serious,1,2,2023-09-22T20:18:00Z,-1,E06000057,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,Zebra,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01027453,Less Serious,E06000057,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,49,46 - 55,1498,Petrol,4,Small town,E01027474,FALSE,>5 and <= 10km,NA,NA,SEAT LEON
2023101363025,1,1,Pedestrian,Female,49,46 - 55,Serious,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01027428,>10 and <= 20km,Less Serious,419877,586137,-1.689504,55.16915,0101000020E61000002E4905933508FBBF1D05A6A9A6954B40,10,Serious,1,2,2023-09-22T20:18:00Z,-1,E06000057,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,Zebra,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01027453,Less Serious,E06000057,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,49,46 - 55,1498,Petrol,4,Small town,E01027474,FALSE,>5 and <= 10km,NA,NA,SEAT LEON
2023451284841,1,1,Pedestrian,Male,70,66 - 75,Slight,Centre of carriageway without refuge,Walking back to traffic,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01030680,<= 5km,Slight,502425,163794,-0.530176,51.363988,0101000020E610000019E34B4934F7E0BF2A940F1D97AE4940,45,Slight,1,1,2023-03-09T09:15:00Z,-1,E10000030,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Wet or damp,None,None,Urban,No - accident was reported on self completed form,E01030680,Slight,E07000212,9,No tow,Turning right,On main cway not in restricted lane,Leaving main road,None,None,NA,None,Front,No,Commuting to from work,Male,60,56 - 65,1997,Hybrid electric,3,Urban area,E01030680,FALSE,<= 5km,NA,NA,LAND ROVER RANGE ROVER SPORT
2023371273190,1,1,Pedestrian,Male,42,36 - 45,Serious,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Small town,E01029927,>20 and <=100km,Less Serious,652253,286685,1.708384,52.419929,0101000020E6100000A387818B8A55FB3F21BEDC2CC0354A40,37,Serious,1,1,2023-02-04T19:00:00Z,-1,E10000029,B,1437,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - lights lit,Fine no high winds,Dry,None,None,Rural,Yes,E01030252,Less Serious,E07000244,19,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Offside,No,Other,Male,39,36 - 45,1995,Heavy oil,7,Small town,E01030252,FALSE,<= 5km,NA,NA,FORD TRANSIT CUSTOM
